Ticker,Actural,Estimated,Released
A,0.51,0.58,N/A
AA,0.41,0.62,20170719
AAL,1.76,1.92,20170728
AAP,1.18,1.58,N/A
AAPL,2.11,2.0961,20170502
ABBV,1.2,1.42,20170728
ABC,1.89,1.77,20170504
ABMD,0.21,0.2,20161027
ABT,0.16,0.62,20170720
ACA,N/A,N/A,N/A
ACC,-0.02,0.1972,20170724
ACGL,0.43,0.4033,20170726
ACHC,0.57,0.66,20170727
ACM,0.66,0.89,20170509
ACN,1.35,1.33,20170323
ADBE,0.76,0.801,20170620
ADI,0.27,1.03,N/A
ADM,0.48,0.57,20170801
ADNT,2.03,2.5,20170428
ADP,1.14,0.87,20170201
ADS,2.48,2.4677,20170720
ADSK,-0.44,-0.2379,N/A
ADT,-0.8388,N/A,N/A
AEE,0.79,0.7955,20170804
AEP,0.76,0.75,20170727
AES,0.08,0.25,20170808
AFG,1.64,1.61,20170801
AFL,0.9,0.915,20170727
AGCO,1.15,1.15,20170727
AGIO,-1.78,-1.78,20170808
AGN,-2.37,4.02,20170803
AGNC,0.05,0.67,20170726
AGO,1.26,1.16,20170802
AGR,0.39,0.46,20170719
AHL,1.09,0.47,20170726
AIG,1.22,1.53,20170802
AIV,0.1,0.0915,20170727
AIZ,2.18,1.63,20170801
AJG,0.39,1.0308,20170727
AKAM,0.33,0.3557,20170725
AL,0.98,0.92,20170803
ALB,0.93,1.13,20170807
ALGN,0.86,0.85,20170727
ALK,2.37,2.51,20170726
ALKS,-0.28,-0.2833,20170727
ALL,1.51,1.38,20170801
ALLE,1.11,1.11,20170727
ALLY,0.55,0.58,20170727
ALNY,-1.34,-1.34,20170809
ALSN,0.63,0.6516,20170731
ALXN,0.74,0.9009,20170727
AMAT,0.76,0.79,N/A
AMCX,1.55,1.88,20170803
AMD,-0.04,-0.0094,20170725
AME,0.65,0.6498,20170802
AMG,2.24,3.33,20170731
AMGN,2.93,2.9212,20170725
AMH,0,0.0151,20170803
AMP,2.53,2.8,20170725
AMT,0.81,0.8002,20170727
AMTD,0.41,0.4038,20170419
AMZN,0.41,0.4004,20170727
AN,0.87,0.86,20170802
ANAT,1.34,N/A,20170731
ANET,1.42,1.1573,20170803
ANSS,0.82,0.8212,20170802
ANTM,3.23,3.37,20170726
AON,2.93,1.53,20170804
AOS,0.53,0.5283,20170726
APA,1.5,-0.21,20170803
APC,-0.76,-0.77,20170724
APD,9.78,1.43,20170427
APH,0.82,0.81,20170726
APLE,0.39,0.39,20170807
APTV,1.38,1.71,20170802
APY,0.24,N/A,20180725
AR,-0.02,-0.04,20170802
ARD,0.1431,0.5395,20170727
ARE,0.35,0.4312,20170731
ARMK,0.29,0.2977,20170509
ARNC,0.44,0.32,20170724
ARRS,0.16,0.2352,20170802
ARW,1.12,1.78,20170803
ASB,0.36,0.36,20170720
ASH,1.48,1.71,20170425
ATH,1.6656,1.43,20170809
ATHN,0.25,0.2894,20170720
ATO,1.55,1.55,20170503
ATR,1.04,1.01,20170727
ATVI,0.32,0.3325,20170803
AVB,1.2,1.0517,20170802
AVGO,1.09,1.1779,N/A
AVT,0.8,0.77,20170126
AVY,1.37,1.31,20170725
AWI,0.77,0.73,20170731
AWK,0.74,0.7318,20170802
AXP,1.48,1.47,20170719
AXS,1.01,1.31,20170726
AXTA,-0.09,0.31,20170803
AYI,1.54,1.77,20170404
AZO,8.29,8.0827,20170228
AZPN,0.48,0.4795,20170126
BA,2.91,2.55,20170726
BAC,0.47,0.4811,20170718
BAH,0.42,0.46,20161102
BAX,0.49,0.63,20170726
BBT,0.78,0.78,20170720
BBY,0.62,0.57,N/A
BC,1.33,1.3479,20170727
BDN,0.02,0.02,20170720
BDX,1.61,2.3,20170502
BEN,0.74,0.74,20170428
BERY,0.56,0.79,20170503
BF/A,0.408,0.4,20161207
BF/B,0.408,0.4,20161207
BFAM,0.56,0.5681,20170801
BG,0.52,0.17,20170802
BGCP,0.18,0.24,20170726
BHF,N/A,N/A,N/A
BHGE,0,-0.11,20170728
BIIB,4.07,4.4985,20170725
BIO,0.17,0.3888,20170803
BK,0.88,0.9301,20170720
BKI,0.12,N/A,20170823
BKNG,14.66,15.14,20170808
BKU,0.6,0.6023,20170726
BLK,5.26,5.24,20170717
BLL,0.28,0.53,20170803
BLUE,-1.73,-1.73,20170802
BMRN,-0.21,-0.001,20170802
BMS,0.31,0.48,20170727
BMY,0.56,0.74,20170727
BOH,1.05,1.0476,20170724
BOKF,1.35,1.3604,20170726
BPOP,0.94,0.94,20170726
BPR,0.14,0.0738,20170802
BR,0.25,0.39,20170208
BRK/B,N/A,N/A,20170804
BRKR,0.15,0.23,20170803
BRO,0.235,0.245,20170717
BRX,0.25,0.2388,20170731
BSX,0.11,0.32,20170727
BURL,0.29,0.39,N/A
BWA,1.01,0.96,20170727
BWXT,0.62,0.56,20170807
BXP,0.87,0.749,20170801
C,1.28,1.28,20170714
CABO,4.91,5.5447,20170808
CACC,5.09,5.22,20170731
CAG,0.28,0.49,20161222
CAH,1.02,1.34,20170207
CASY,1.46,1.44,20161207
CAT,1.36,1.49,20170725
CB,2.79,2.5,20170725
CBOE UF Equity,0.6,0.6335,20170804
CBRE,0.6,0.65,20170727
CBS,0.14,0.97,20170807
CBSH,0.6803,0.6803,20170713
CBT,1.1699,0.87,20170501
CC,0.87,0.87,20170802
CCI,0.31,0.326,20170719
CCK,0.95,1.12,20170719
CCL,0.52,0.52,20170622
CDAY,-1.4295,N/A,N/A
CDEV UR Equity,0.09,0.0631,20170807
CDK,0.56,0.64,20170202
CDNS,0.25,0.2536,20170724
CDW,0.9,1.0994,20170803
CE,1.67,1.79,20170724
CELG,1.41,1.4319,20170727
CERN,0.54,0.54,20170727
CF,0.01,0.1,20170802
CFG,0.63,0.6267,20170721
CFR,1.3,1.2845,20170727
CFX,0.43,0.43,20170728
CGNX,0.165,0.315,20170731
CHD,0.29,0.41,20170803
CHE,-1.35,2.2495,20170725
CHH,0.9,0.79,20170802
CHK,0.52,0.16,20170803
CHRW,0.79,0.7845,20170719
CHTR,0.53,0.52,20170727
CI,3.2,2.91,20170804
CIM,0.56,0.6,20170802
CINF,0.61,0.64,20170802
CIT,0.86,0.68,20170725
CL,0.59,0.72,20170721
CLGX,0.49,0.5214,20170725
CLH,0.45,0.24,20170802
CLNY,0.07,0.0527,20170808
CLR,-0.17,0,20170808
CLX,1.16,1.2514,20170203
CMA,1.15,1.15,20170718
CMCSA,0.53,0.5226,20170727
CMD,0.43,0.52,20170309
CME,1.23,1.23,20170801
CMG,2.33,2.32,20170725
CMI,2.53,2.5268,20170801
CMS,0.33,0.33,20170728
CNA,1.01,0.88,20170731
CNC,1.47,1.59,20170725
CNDT,-0.03,0.16,20170809
CNK,0.44,0.4672,20170804
CNP,0.31,0.29,20170803
CNX,0.74,0.17,20170801
COF,1.96,1.9648,20170720
COG,0.05,0.1265,20170727
COHR,1.71,2.2141,20170509
COLM,-0.17,-0.1271,20170727
COMM,0.29,0.3521,20170803
CONE,-0.01,0.0418,20170802
COO,2.14,2.5,N/A
COP,-2.78,0.14,20170727
COR,0.46,0.4594,20170727
COST,1.17,1.1687,20170302
COTY,0.06,0.3,20170209
CPA,1.49,1.48,20170809
CPB,0.33,0.91,N/A
CPRT,0.29,0.29,20170221
CPT,0.43,0.43,20170727
CR,1.16,1.17,20170724
CRI,0.78,0.79,20170727
CRL,1.13,1.29,20170809
CRM,0.34,-0.0518,N/A
CSCO,0.47,0.489,N/A
CSGP,0.68,0.6854,20170726
CSL,1.59,1.58,20170725
CSX,0.55,0.64,20170718
CTAS,1.32,1.13,20161222
CTL,0.03,0.46,20170802
CTLT,0.14,0.1757,20170206
CTSH,0.8,0.7834,20170803
CTXS,0.72,0.7073,20170802
CUBE,0.18,0.18,20170727
CVS,1.07,1.33,20170808
CVX,0.77,0.9086,20170728
CW,1.15,1.13,20170726
CXO,1.02,0.52,20170802
CXP,0.01,0.0093,20170727
CY,-0.05,-0.0625,20170727
CZR,-9.62,-1.5288,20170803
D,0.62,0.67,20170802
DAL,1.63,1.64,20170713
DATA,-0.54,-0.5416,20170802
DCI,0.35,0.35,20170301
DE,2.53,2.154,N/A
DEI,0.129,0.129,20170801
DFS,1.4037,1.4037,20170726
DG,1.08,1.08,20160825
DGX,1.4,1.55,20170725
DHI,0.61,0.6049,20170420
DHR,0.8,0.99,20170720
DIS,1.51,1.5009,20170509
DISCA,0.65,0.68,20170731
DISCK,0.65,0.68,20170731
DISH,0.09,0.4975,20170803
DKS,0.82,0.82,N/A
DLB,0.5,0.487,20170426
DLR,0.36,0.4454,20170727
DLTR,0.72,0.72,N/A
DNB,1.22,1.4,20170802
DNKN,0.56,0.64,20170727
DOCU,N/A,N/A,N/A
DOV,1.05,1.04,20170720
DOX,0.77,0.7313,20170509
DPZ,1.37,1.3228,20170725
DRE,3.3724,3.2707,20170726
DRI,0.65,0.64,20161220
DTE,0.99,1.07,20170726
DUK,0.98,1.01,20170803
DVA,0.66,0.92,20170801
DVMT,N/A,N/A,N/A
DVN,0.4154,0.34,20170801
DWDP,0.79,N/A,20171026
DXC,0.11,N/A,20171107
DXCM,0.03,-0.16,20170801
EA,-0.13,-0.1003,20161101
EAF,N/A,N/A,20170802
EBAY,0.03,0.308,20170720
ECL,1.02,1.13,20170801
ED,0.57,0.58,20170803
EEFT,0.98,1.0982,20170725
EFX,1.37,1.6,20170726
EHC,0.7,0.71,20170731
EIX,0.85,0.85,20170727
EL,1.17,1.22,20170202
ELS,0.46,0.45,20170717
EMN,2.01,1.98,20170727
EMR,0.45,0.58,20170502
ENR,0.76,0.5,20170503
EOG,0.04,0.08,20170801
EPAM,0.72,0.685,20170803
EPR,1.02,0.8873,20170803
EQC,-0.06,0.1574,20170724
EQH,2.2674,N/A,N/A
EQIX,0.59,0.9382,20170802
EQR,0.53,0.3023,20170725
EQT,0.24,0.06,20170727
ERIE,1.2012,1.1182,20170727
ES,0.72,0.72,20170727
ESRT,0.105,0.0556,20170726
ESRX,1.38,1.73,20170725
ESS,1.08,1.0422,20170727
ETFC,0.7,0.5186,20170720
ETN,1.16,1.15,20170801
ETR,2.28,3.11,20170802
ETRN,N/A,N/A,N/A
EV,0.65,0.62,N/A
EVR,0.45,1.06,20170727
EVRG,N/A,N/A,N/A
EW,0.88,1.08,20170726
EWBC,0.82,0.8073,20170720
EXAS UR Equity,-0.27,-0.27,20170725
EXC,0.1,0.54,20170802
EXEL,0.06,0.0696,20170802
EXP,1.26,1.25,20161024
EXPD,0.6,0.598,20170808
EXPE,0.37,0.448,20170727
EXR,0.69,0.69,20170801
F,0.51,0.56,20170726
FAF,1.1,1.09,20170727
FANG,1.61,1.4,20170801
FAST,0.52,0.52,20170712
FB,1.34,1.3182,20170726
FBHS,0.89,0.92,20170802
FCE/A,0.22,0.2296,20170803
FCNCA,11.21,N/A,20170726
FCX,0.18,0.17,20170725
FDC,0.2,0.2249,20170807
FDS,1.69,1.81,20170328
FDX,2.63,2.8,20161220
FE,0.39,0.61,20170727
FEYE,-0.39,-0.4,20170801
FFIV,1.44,1.4306,20170426
FHB,0.41,0.41,20170727
FHN,0.39,0.2732,20170714
FICO,0.81,0.6659,20170427
FIS,0.42,1.02,20170802
FISV,0.52,0.595,20170801
FITB,0.46,0.46,20170721
FL,0.94,0.94,N/A
FLIR,0.38,0.42,20170726
FLO,0.21,0.24,N/A
FLR,-0.17,-0.17,20170803
FLS,0.32,0.22,20170727
FLT,1.42,1.99,20170803
FMC,0.56,0.48,20170801
FNB,0.22,0.23,20170720
FND,0.22,0.2,20170727
FNF,1.0923,0.75,20170719
FOX,0.46,0.53,20170206
FOXA,0.46,0.53,20170206
FRC,1.1,1.0611,20170714
FRT,1.05,0.7925,20170802
FSLR,0.5,0.64,20170727
FTDR,N/A,N/A,N/A
FTNT,0.13,0.1278,20170726
FTV,0.69,0.71,20170727
FWONA,-1.0542,0.1132,20170809
FWONK,N/A,N/A,20170809
G,0.36,0.3759,20170802
GD,2.5,2.45,20170726
GDDY,0.2,0.1681,20170808
GDI,-0.83,0.24,20170802
GE,0.1,0.28,20170721
GGG,0.16,0.46,20170726
GHC,7.5819,N/A,20170802
GILD,2.35,2.3607,20170726
GIS,0.82,0.85,20161220
GLIBA,-0.1028,-0.1454,N/A
GLPI,0.46,N/A,20170731
GLW,0.46,0.42,20170726
GM,1.11,1.89,20170725
GNTX,0.31,0.31,20170721
GOOG,N/A,N/A,20170724
GOOGL,5.09,8.9167,20170724
GPC,1.29,1.29,20170720
GPK,0.14,0.15,20170725
GPN,0.44,0.5128,20170803
GPS,0.31,0.6,N/A
GRA,0.64,0.84,20170727
GRMN,0.94,0.88,20170802
GRUB,0.17,0.2171,20170803
GS,4,3.95,20170718
GT,0.58,0.7,20170728
GTES,0.0307,N/A,N/A
GTX,N/A,N/A,20180905
GWR,0.75,0.8,20170801
GWRE,0.05,0.0531,20170302
GWW,1.68,2.74,20170719
H,0.82,0.52,20170803
HAIN,0.26,0.2781,20170622
HAL,0.03,0.23,20170724
HAS,0.54,0.5317,20170724
HBAN,0.23,0.26,20170721
HBI,0.47,0.53,20170801
HCA,1.79,1.75,20170725
HCP,0.04,0.0403,20170801
HD,1.98,1.97,N/A
HDS,0.49,0.85,N/A
HE,0.36,0.36,20170803
HEI,0.3456,0.3392,N/A
HEI/A,0.3456,0.3392,N/A
HES,-1.46,-1.46,20170726
HFC,0.33,0.66,20170802
HGV,0.51,0.51,20170802
HHC,0.08,0.0725,20170807
HIG,-0.11,1.04,20170727
HII,3.22,3.21,20170803
HIW,0.37,0.3429,20170725
HLF,0.845,0.755,20170801
HLT,0.46,0.52,20170726
HOG,1.48,1.4765,20170718
HOLX,1.88,0.5,20170510
HON,1.82,1.8,20170721
HP,-0.45,-0.4665,20170427
HPE,-0.37,0.35,N/A
HPP,0.02,0.02,20170803
HPQ,0.33,0.4,N/A
HPT,0.37,0.37,20170809
HRB,-0.68,-0.67,20161207
HRC,0.52,0.88,20170428
HRL,0.4,0.3909,N/A
HRS,1.42,1.42,20170202
HSIC,0.43,0.875,20170808
HST,0.28,0.2842,20170726
HSY,0.955,1.09,20170726
HTA,-0.03,0.0729,20170731
HUBB,1.44,1.43,20170725
HUM,4.49,3.49,20170802
HUN,0.7,0.85,20170727
HXL,0.68,0.67,20170724
IAC,0.84,0.6668,20170802
IART,0.14,0.45,20170726
IBKR VF Equity,0.33,0.41,20170718
IBM,2.49,2.97,20170718
ICE,0.71,0.75,20170803
ICUI,-1.87,0.2842,20170809
IDXX,0.97,0.9497,20170801
IEX,1.1,1.08,20170725
IFF,1.39,1.5,20170808
IGT,-1.43,0.15,20170801
ILMN,0.87,0.82,20170801
INCY,-0.06,0.026,20170801
INFO,0.25,0.2972,20170627
INGR,1.81,1.89,20170801
INTC,0.6,0.72,20170727
INTU,0.05,0.0725,20170223
INVH,0.02,-0.0115,20170810
IONS,-0.02,-0.0904,20170808
IP,0.19,0.65,20170727
IPG,0.27,0.27,20170725
IPGP,1.95,1.9255,20170801
IQV,0.28,0.5245,20170803
IR,1.4,1.5002,20170726
IRM,0.3,0.3,20170728
ISRG,0.67,1.7454,20170720
IT,-1.03,0.88,20170808
ITT,0.54,0.65,20170804
ITW,1.7,1.66,20170724
IVZ,0.58,0.64,20170727
JAZZ,1.76,1.7393,20170808
JBGS,N/A,N/A,20170814
JBHT,0.89,0.8831,20170717
JBL,0.11,0.2725,20170315
JBLU,0.63,0.6365,20170725
JCI,-0.16,0.5,20170427
JEC,0.41,0.78,20170509
JEF,0.16,0.16,20170727
JKHY,0.76,0.7523,20170207
JLL,2.08,1.82,20170802
JNJ,1.42,1.83,20170718
JNPR,0.47,0.4869,20170725
JPM,1.83,1.7126,20170714
JW/A,-0.2,0.76,20161207
JWN,0.67,0.67,N/A
K,0.81,0.97,20170803
KAR,0.42,0.65,20170808
KDP,1.02,1.25,20170727
KEX,0.48,0.4822,20170726
KEY,0.37,0.34,20170720
KEYS,0.28,0.4989,N/A
KHC,0.95,0.98,20170803
KIM,0.31,0.3789,20170726
KLAC,1.52,1.52,20170126
KMB,1.5,1.49,20170725
KMI,0.15,0.14,20170719
KMX,0.85,0.8785,20160921
KNX,0.3056,0.3472,20170724
KO,0.32,0.59,20170726
KORS,0.97,0.95,20161110
KOS,-0.02,-0.02,20170807
KR,0.4,0.47,20160909
